,associated,name,code,level,desc,imgs,page,includes,img_1,img_2
10,Associated Masterformat Sections: 03 30 00 ,Column Foundations,A1010.30 / 21-01 10 10 30 / Ss 20 05 15,100,See A10,,21,,,
11,Associated Masterformat Sections: 03 30 00 ,Column Foundations,A1010.30 / 21-01 10 10 30 / Ss 20 05 15,200,See A10,,21,,,
12,Associated Masterformat Sections: 03 30 00 ,Column Foundations,A1010.30 / 21-01 10 10 30 / Ss 20 05 15,300,"Inclusions
● Design specified bearing depth
● Top of Pier
● Size of pier","556, 557",22,,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/556.png,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/557.png
13,Associated Masterformat Sections: 03 30 00 ,Column Foundations,A1010.30 / 21-01 10 10 30 / Ss 20 05 15,350,"Inclusions
● Dowels","558, 559",22,,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/558.png,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/559.png
14,Associated Masterformat Sections: 03 30 00 ,Column Foundations,A1010.30 / 21-01 10 10 30 / Ss 20 05 15,400,"Inclusions
● Depth to bearing stratum
● Penetration into bearing stratum
● Rebar including hooks and lap
splices
● Pier sled or Pier wheel for side
clear cover
● Pier bolster for bottom clear cover","565, 566",23,,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/565.png,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/566.png
15,Associated Masterformat Sections: 31 60 00 ,Special Foundations,A1020 / 21-01 10 20 / Ss 20 05,100,See A10,,23,"Includes: Drilling, casing, bell bottom, excavation, dewatering, removal of excavated, materials, reinforcing, and concrete. Drilled Piers, Driven Piles, Mat Foundation, elevator pits. ",,
16,Associated Masterformat Sections: 31 60 00 ,Special Foundations,A1020 / 21-01 10 20 / Ss 20 05,200,See A10,,23,"Includes: Drilling, casing, bell bottom, excavation, dewatering, removal of excavated, materials, reinforcing, and concrete. Drilled Piers, Driven Piles, Mat Foundation, elevator pits. ",,
17,Associated Masterformat Sections: 31 60 00 ,Special Foundations,A1020 / 21-01 10 20 / Ss 20 05,300,See A1010,,23,"Includes: Drilling, casing, bell bottom, excavation, dewatering, removal of excavated, materials, reinforcing, and concrete. Drilled Piers, Driven Piles, Mat Foundation, elevator pits. ",,
18,Associated Masterformat Sections: 31 60 00 ,Special Foundations,A1020 / 21-01 10 20 / Ss 20 05,350,See A1010.10,,23,"Includes: Drilling, casing, bell bottom, excavation, dewatering, removal of excavated, materials, reinforcing, and concrete. Drilled Piers, Driven Piles, Mat Foundation, elevator pits. ",,
19,Associated Masterformat Sections: 31 60 00 ,Special Foundations,A1020 / 21-01 10 20 / Ss 20 05,400,See A1010.10,,23,"Includes: Drilling, casing, bell bottom, excavation, dewatering, removal of excavated, materials, reinforcing, and concrete. Drilled Piers, Driven Piles, Mat Foundation, elevator pits. ",,
20,Associated Masterformat Sections: N/A ,"Helical Piles, Helical Piers",A1020.10.10 / 21-01 10 20 10 10 / --,100,See A10,,24,,,
21,Associated Masterformat Sections: N/A ,"Helical Piles, Helical Piers",A1020.10.10 / 21-01 10 20 10 10 / --,200,,571,24,,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/571.png,
22,Associated Masterformat Sections: N/A ,"Helical Piles, Helical Piers",A1020.10.10 / 21-01 10 20 10 10 / --,300,"Inclusions
● Length
Largest outside diameter",572,24,,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/572.png,
23,Associated Masterformat Sections: N/A ,"Helical Piles, Helical Piers",A1020.10.10 / 21-01 10 20 10 10 / --,350,"Inclusions
● Connection detail at top of pier",573,24,,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/573.png,
24,Associated Masterformat Sections: N/A ,"Helical Piles, Helical Piers",A1020.10.10 / 21-01 10 20 10 10 / --,400,"Inclusions:
• True shape of pier",573,24,,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/573.png,
25,Associated Masterformat Sections: 03 30 00 ,Grade Beams,A1020.80 / 21-01 10 20 80 / Ss 20 05 15 71,100,See A10,,25,"Includes: Formwork, reinforcement, and concrete. ",,
26,Associated Masterformat Sections: 03 30 00 ,Grade Beams,A1020.80 / 21-01 10 20 80 / Ss 20 05 15 71,200,See A10,"580, 581",25,"Includes: Formwork, reinforcement, and concrete. ",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/580.png,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/581.png
27,Associated Masterformat Sections: 03 30 00 ,Grade Beams,A1020.80 / 21-01 10 20 80 / Ss 20 05 15 71,300,See A1010,"582, 583",25,"Includes: Formwork, reinforcement, and concrete. ",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/582.png,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/583.png
28,Associated Masterformat Sections: 03 30 00 ,Grade Beams,A1020.80 / 21-01 10 20 80 / Ss 20 05 15 71,350,"Inclusions:
● All penetrations, modeled at rough
opening dimensions
● Expansion joints
● Chamfer
● Dowels
● Embeds
● Keyway
● Void boxes","584, 585",25,"Includes: Formwork, reinforcement, and concrete. ",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/584.png,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/585.png
29,Associated Masterformat Sections: 03 30 00 ,Grade Beams,A1020.80 / 21-01 10 20 80 / Ss 20 05 15 71,400,See A1010.10,,25,"Includes: Formwork, reinforcement, and concrete. ",,
30,Associated Masterformat Sections: 01 82 16 ,Subgrade Enclosures,A20 / 21-01 20 / Ss 20 05 15,100,"Inclusions
● Solid mass model representing
overall subgrade volume or
schematic wall elements that are not
distinguishable by type or material.",,26,,,
31,Associated Masterformat Sections: 01 82 16 ,Walls for Subgrade Enclosures,A2010 / 21-01 20 10 / Ss 20 60,100,See B20,,26,"Includes: Perimeter walls enclosing building space below grade. Includes formwork, reinforcing, concrete and unit masonry. Includes Subgrade Enclosure Wall Supplementary Components as appropriate. May Include: Related Activities: Excavation, dewatering, excavation support systems, backfill and compaction, and soil treatment. ",,
32,Associated Masterformat Sections: 01 82 16 ,Walls for Subgrade Enclosures,A2010 / 21-01 20 10 / Ss 20 60,200,See B2010.20,,26,"Includes: Perimeter walls enclosing building space below grade. Includes formwork, reinforcing, concrete and unit masonry. Includes Subgrade Enclosure Wall Supplementary Components as appropriate. May Include: Related Activities: Excavation, dewatering, excavation support systems, backfill and compaction, and soil treatment. ",,
33,Associated Masterformat Sections: 01 82 16 ,Walls for Subgrade Enclosures,A2010 / 21-01 20 10 / Ss 20 60,300,See B2010.20,,26,"Includes: Perimeter walls enclosing building space below grade. Includes formwork, reinforcing, concrete and unit masonry. Includes Subgrade Enclosure Wall Supplementary Components as appropriate. May Include: Related Activities: Excavation, dewatering, excavation support systems, backfill and compaction, and soil treatment. ",,
34,Associated Masterformat Sections: 01 82 16 ,Walls for Subgrade Enclosures,A2010 / 21-01 20 10 / Ss 20 60,350,See B2010.20.50,,26,"Includes: Perimeter walls enclosing building space below grade. Includes formwork, reinforcing, concrete and unit masonry. Includes Subgrade Enclosure Wall Supplementary Components as appropriate. May Include: Related Activities: Excavation, dewatering, excavation support systems, backfill and compaction, and soil treatment. ",,
35,Associated Masterformat Sections: 01 82 16 ,Walls for Subgrade Enclosures,A2010 / 21-01 20 10 / Ss 20 60,400,See B2010.20.50,,26,"Includes: Perimeter walls enclosing building space below grade. Includes formwork, reinforcing, concrete and unit masonry. Includes Subgrade Enclosure Wall Supplementary Components as appropriate. May Include: Related Activities: Excavation, dewatering, excavation support systems, backfill and compaction, and soil treatment. ",,
36,Associated Masterformat Sections: 01 82 00 ,Slabs-on-Grade,A40 / 21-01 40 / Pr 20 85 14 16,100,N/A,,26,,,
37,Associated Masterformat Sections: 01 82 00 ,Slabs-on-Grade,A40 / 21-01 40 / Pr 20 85 14 16,200,"Inclusions
● Generic slab with approximate
thickness.",,26,,,
38,Associated Masterformat Sections: 03 30 00 ,Standard Slabs-on-Grade,A4010 / 21-01 40 10 / Pr 20 85 14 16,100,See A40,,27,"Includes: Slab construction supported continuously by earth or compacted fill. Includes fine grading, subbase layer, mud slab, insulation, vapor retarder, waterproofing, formwork, expansion joints, control joints, reinforcement, concrete, and finishing includes: Slabs-On-Grade Supplementary Components as appropriate. May Include: Related Activities: Excavation, dewatering, excavation support systems, backfill and compaction, and soil treatment. ",,
39,Associated Masterformat Sections: 03 30 00 ,Standard Slabs-on-Grade,A4010 / 21-01 40 10 / Pr 20 85 14 16,200,See A40,"597, 598",27,"Includes: Slab construction supported continuously by earth or compacted fill. Includes fine grading, subbase layer, mud slab, insulation, vapor retarder, waterproofing, formwork, expansion joints, control joints, reinforcement, concrete, and finishing includes: Slabs-On-Grade Supplementary Components as appropriate. May Include: Related Activities: Excavation, dewatering, excavation support systems, backfill and compaction, and soil treatment. ",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/597.png,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/598.png
40,Associated Masterformat Sections: 03 30 00 ,Standard Slabs-on-Grade,A4010 / 21-01 40 10 / Pr 20 85 14 16,300,"Inclusions:
● Overall size, thickness, and geometry
of the slab
● Openings with any dimension greater
than 6” (15 cm) or as noted
● Slab depressions
● Edge turn downs
● Surface slopes","600, 599",27,"Includes: Slab construction supported continuously by earth or compacted fill. Includes fine grading, subbase layer, mud slab, insulation, vapor retarder, waterproofing, formwork, expansion joints, control joints, reinforcement, concrete, and finishing includes: Slabs-On-Grade Supplementary Components as appropriate. May Include: Related Activities: Excavation, dewatering, excavation support systems, backfill and compaction, and soil treatment. ",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/600.png,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/599.png
41,Associated Masterformat Sections: 03 30 00 ,Standard Slabs-on-Grade,A4010 / 21-01 40 10 / Pr 20 85 14 16,350,"Element modeling to include:
● All penetrations, modeled to rough
opening dimensions.
● Pour joints
● Control joints
● Expansion joints
● Void boxes
● Anchor elements
● Dowels
● Post-tension anchor points.","601, 602",27,"Includes: Slab construction supported continuously by earth or compacted fill. Includes fine grading, subbase layer, mud slab, insulation, vapor retarder, waterproofing, formwork, expansion joints, control joints, reinforcement, concrete, and finishing includes: Slabs-On-Grade Supplementary Components as appropriate. May Include: Related Activities: Excavation, dewatering, excavation support systems, backfill and compaction, and soil treatment. ",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/601.png,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/602.png
42,Associated Masterformat Sections: 03 30 00 ,Standard Slabs-on-Grade,A4010 / 21-01 40 10 / Pr 20 85 14 16,400,"Inclusions:
● Rebar
● Post tensioning components",,27,"Includes: Slab construction supported continuously by earth or compacted fill. Includes fine grading, subbase layer, mud slab, insulation, vapor retarder, waterproofing, formwork, expansion joints, control joints, reinforcement, concrete, and finishing includes: Slabs-On-Grade Supplementary Components as appropriate. May Include: Related Activities: Excavation, dewatering, excavation support systems, backfill and compaction, and soil treatment. ",,
43,Associated Masterformat Sections: 03 30 00 ,Structural Slabs-on-Grade,A4020 / 21-01 40 20 / Pr 20 85 14 16,All,See A4010,,28,"Includes: Self-supporting slab construction not supported continuously by earth or compacted fill. Includes formwork, accessories, reinforcement, concrete, and finishing. Includes Slabs-On-Grade Supplementary Components as appropriate. May Include: Related Activities: Excavation, dewatering, excavation support systems, backfill and compaction, and soil treatment. ",,
44,Associated Masterformat Sections: 01 83 13 ,Floor Construction,B1010 / 21-02 10 10 / Ss 30 12,100,"Inclusions
• Level defined (elevation approximate)",,30,,,
45,Associated Masterformat Sections: 01 83 13 ,Floor Construction,B1010 / 21-02 10 10 / Ss 30 12,200,"Inclusions
• Element envelope",,30,,,
46,Associated Masterformat Sections: 03 30 00 / 03 40 00 ,Floor Structural Frame (Concrete),B1010.10.10 / 21-02 10 10 10 10 / Ss 30 12 85 18,100,See B1010,,30,,,
47,Associated Masterformat Sections: 03 30 00 / 03 40 00 ,Floor Structural Frame (Concrete),B1010.10.10 / 21-02 10 10 10 10 / Ss 30 12 85 18,200,See B1010,,31,,,
48,Associated Masterformat Sections: 03 30 00 / 03 40 00 ,Floor Structural Frame (Concrete),B1010.10.10 / 21-02 10 10 10 10 / Ss 30 12 85 18,300,"Inclusions:
• Overall size, thickness, and geometry of elements
• Openings with any dimension greater than 6” (15 cm) or
as noted
• Slab depressions
• Surface slopes",,31,,,
49,Associated Masterformat Sections: 03 30 00 / 03 40 00 ,Floor Structural Frame (Concrete),B1010.10.10 / 21-02 10 10 10 10 / Ss 30 12 85 18,350,"Inclusions
• All penetrations, modeled to rough opening dimensions.
• Pour joints
• Control joints
• Expansion joints
• Anchor elements
• Embeds
• Dowels
• Post-tension anchor points.",,31,,,
50,Associated Masterformat Sections: 03 30 00 / 03 40 00 ,Floor Structural Frame (Concrete),B1010.10.10 / 21-02 10 10 10 10 / Ss 30 12 85 18,400,"Inclusions:
• Shear reinforcing and stud rails
• All reinforcement
• Chamfer
• Camber",,31,,,
51,Associated Masterformat Sections: 03 30 00 / 03 40 00 / 04 20 00 / 05 10 00 / 05 20 00 05 21 23 / 05 42 00 / 05 44 00 / 06 11 00 / 06 13 00 / 06 13 26 / 06 17 33 / 06 17 36 06 17 53 / 06 18 13 / 06 18 16 / 06 50 00 ,"Structural Beam, Concrete, Precast or Cast-in-Place",B1010.10.11 / 21-02 10 10 10 11 / Ss 20 20 75 15,100,See B1010,,31,"Includes: Structural elements required for support of floor construction within basements and above grade. Includes columns, girders, beams, trusses, joists. Includes cast-in-place concrete, precast concrete, unit masonry, metal framed, and wood framed systems. ",,
52,Associated Masterformat Sections: 03 30 00 / 03 40 00 / 04 20 00 / 05 10 00 / 05 20 00 05 21 23 / 05 42 00 / 05 44 00 / 06 11 00 / 06 13 00 / 06 13 26 / 06 17 33 / 06 17 36 06 17 53 / 06 18 13 / 06 18 16 / 06 50 00 ,"Structural Beam, Concrete, Precast or Cast-in-Place",B1010.10.11 / 21-02 10 10 10 11 / Ss 20 20 75 15,200,See B1010,622,31,"Includes: Structural elements required for support of floor construction within basements and above grade. Includes columns, girders, beams, trusses, joists. Includes cast-in-place concrete, precast concrete, unit masonry, metal framed, and wood framed systems. ",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/622.png,
53,Associated Masterformat Sections: 03 30 00 / 03 40 00 / 04 20 00 / 05 10 00 / 05 20 00 05 21 23 / 05 42 00 / 05 44 00 / 06 11 00 / 06 13 00 / 06 13 26 / 06 17 33 / 06 17 36 06 17 53 / 06 18 13 / 06 18 16 / 06 50 00 ,"Structural Beam, Concrete, Precast or Cast-in-Place",B1010.10.11 / 21-02 10 10 10 11 / Ss 20 20 75 15,300,"Inclusions:
• Overall Geometry
• Openings with any dimension greater than 6” (15 cm) or
as noted",627,32,"Includes: Structural elements required for support of floor construction within basements and above grade. Includes columns, girders, beams, trusses, joists. Includes cast-in-place concrete, precast concrete, unit masonry, metal framed, and wood framed systems. ",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/627.png,
54,Associated Masterformat Sections: 03 30 00 / 03 40 00 / 04 20 00 / 05 10 00 / 05 20 00 05 21 23 / 05 42 00 / 05 44 00 / 06 11 00 / 06 13 00 / 06 13 26 / 06 17 33 / 06 17 36 06 17 53 / 06 18 13 / 06 18 16 / 06 50 00 ,"Structural Beam, Concrete, Precast or Cast-in-Place",B1010.10.11 / 21-02 10 10 10 11 / Ss 20 20 75 15,350,"Inclusions
• All penetrations, modeled to rough opening dimensions.
• Anchor elements
• Embeds
• Dowels
• Post-tension anchor points.
• Critical structural zones such as zones that cannot be
penetrated or cut
• Lifting points",628,32,"Includes: Structural elements required for support of floor construction within basements and above grade. Includes columns, girders, beams, trusses, joists. Includes cast-in-place concrete, precast concrete, unit masonry, metal framed, and wood framed systems. ",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/628.png,
55,Associated Masterformat Sections: 03 30 00 / 03 40 00 / 04 20 00 / 05 10 00 / 05 20 00 05 21 23 / 05 42 00 / 05 44 00 / 06 11 00 / 06 13 00 / 06 13 26 / 06 17 33 / 06 17 36 06 17 53 / 06 18 13 / 06 18 16 / 06 50 00 ,"Structural Beam, Concrete, Precast or Cast-in-Place",B1010.10.11 / 21-02 10 10 10 11 / Ss 20 20 75 15,400,"Inclusions:
• All reinforcement
• Chamfer
• Camber",629,32,"Includes: Structural elements required for support of floor construction within basements and above grade. Includes columns, girders, beams, trusses, joists. Includes cast-in-place concrete, precast concrete, unit masonry, metal framed, and wood framed systems. ",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/629.png,
56,Associated Masterformat Sections: 03 30 00 / 03 40 00 / 04 20 00 / 05 10 00 / 05 20 00 05 21 23 / 05 42 00 / 05 44 00 / 06 11 00 / 06 13 00 / 06 13 26 / 06 17 33 / 06 17 36 06 17 53 / 06 18 13 / 06 18 16 / 06 50 00 ,"Structural Column, Concrete, Precast or Cast-inPlace",B1010.10.12 / 21-02 10 10 10 12 / Ss 20 30 75 15,100,See B1010,,32,"Includes: Structural elements required for support of floor construction within basements and above grade. Includes columns, girders, beams, trusses, joists. Includes cast-in-place concrete, precast concrete, unit masonry, metal framed, and wood framed systems. ",,
57,Associated Masterformat Sections: 03 30 00 / 03 40 00 / 04 20 00 / 05 10 00 / 05 20 00 05 21 23 / 05 42 00 / 05 44 00 / 06 11 00 / 06 13 00 / 06 13 26 / 06 17 33 / 06 17 36 06 17 53 / 06 18 13 / 06 18 16 / 06 50 00 ,"Structural Column, Concrete, Precast or Cast-inPlace",B1010.10.12 / 21-02 10 10 10 12 / Ss 20 30 75 15,200,See B1010,634,33,"Includes: Structural elements required for support of floor construction within basements and above grade. Includes columns, girders, beams, trusses, joists. Includes cast-in-place concrete, precast concrete, unit masonry, metal framed, and wood framed systems. ",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/634.png,
58,Associated Masterformat Sections: 03 30 00 / 03 40 00 / 04 20 00 / 05 10 00 / 05 20 00 05 21 23 / 05 42 00 / 05 44 00 / 06 11 00 / 06 13 00 / 06 13 26 / 06 17 33 / 06 17 36 06 17 53 / 06 18 13 / 06 18 16 / 06 50 00 ,"Structural Column, Concrete, Precast or Cast-inPlace",B1010.10.12 / 21-02 10 10 10 12 / Ss 20 30 75 15,300,"Inclusions:
• Overall Geometry
• Openings with any dimension greater than 6” (15 cm) or
as noted",635,33,"Includes: Structural elements required for support of floor construction within basements and above grade. Includes columns, girders, beams, trusses, joists. Includes cast-in-place concrete, precast concrete, unit masonry, metal framed, and wood framed systems. ",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/635.png,
59,Associated Masterformat Sections: 03 30 00 / 03 40 00 / 04 20 00 / 05 10 00 / 05 20 00 05 21 23 / 05 42 00 / 05 44 00 / 06 11 00 / 06 13 00 / 06 13 26 / 06 17 33 / 06 17 36 06 17 53 / 06 18 13 / 06 18 16 / 06 50 00 ,"Structural Column, Concrete, Precast or Cast-inPlace",B1010.10.12 / 21-02 10 10 10 12 / Ss 20 30 75 15,350,"Inclusions
• All penetrations, modeled to rough opening dimensions.
• Anchor elements
• Embeds
• Dowels
• Post-tension anchor points.
• Critical structural zones such as zones that cannot be
penetrated or cut
• Lifting points",636,33,"Includes: Structural elements required for support of floor construction within basements and above grade. Includes columns, girders, beams, trusses, joists. Includes cast-in-place concrete, precast concrete, unit masonry, metal framed, and wood framed systems. ",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/636.png,
60,Associated Masterformat Sections: 03 30 00 / 03 40 00 / 04 20 00 / 05 10 00 / 05 20 00 05 21 23 / 05 42 00 / 05 44 00 / 06 11 00 / 06 13 00 / 06 13 26 / 06 17 33 / 06 17 36 06 17 53 / 06 18 13 / 06 18 16 / 06 50 00 ,"Structural Column, Concrete, Precast or Cast-inPlace",B1010.10.12 / 21-02 10 10 10 12 / Ss 20 30 75 15,400,"Inclusions:
• All reinforcement
• Chamfer
• Camber",641,34,"Includes: Structural elements required for support of floor construction within basements and above grade. Includes columns, girders, beams, trusses, joists. Includes cast-in-place concrete, precast concrete, unit masonry, metal framed, and wood framed systems. ",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/641.png,
61,Associated Masterformat Sections: 04 20 00 ,"Floor Structural Frame, Masonry",B1010.10.20 / 21-02 10 10 10 20 / Ss 25 13 50,100,See B10,,34,,,
62,Associated Masterformat Sections: 04 20 00 ,"Floor Structural Frame, Masonry",B1010.10.20 / 21-02 10 10 10 20 / Ss 25 13 50,200,Se B1010,,34,,,
63,Associated Masterformat Sections: 04 20 00 ,"Floor Structural Frame, Masonry",B1010.10.20 / 21-02 10 10 10 20 / Ss 25 13 50,300,"Inclusions:
• Overall Geometry
• Openings with any dimension greater than 6” (15 cm) or
as noted",,34,,,
64,Associated Masterformat Sections: 04 20 00 ,"Floor Structural Frame, Masonry",B1010.10.20 / 21-02 10 10 10 20 / Ss 25 13 50,350,"Inclusions
• All penetrations, modeled to rough opening dimensions.
• Anchor elements
• Exposed embeds
• Lintels
• Dowels
• Post-tension anchor points.
• Critical structural zones such as zones that cannot be
penetrated or cut
• Expansion joints
• Lifting points
• Bond beams",,34,,,
65,Associated Masterformat Sections: 04 20 00 ,"Floor Structural Frame, Masonry",B1010.10.20 / 21-02 10 10 10 20 / Ss 25 13 50,400,"Inclusions:
• Waterproofing
• Coursing
• Reinforcements",,34,,,
66,Associated Masterformat Sections: 05 10 00 ,"Floor Structural Frame, Steel Framing Columns",B1010.10.30 21-02 10 10 10 30,100,"Inclusions:
• Abstraction of columns as box",,34,,,
67,Associated Masterformat Sections: 05 10 00 ,"Floor Structural Frame, Steel Framing Columns",B1010.10.30 21-02 10 10 10 30,200,"Inclusions:
• General shape
•",646,35,,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/646.png,
68,Associated Masterformat Sections: 05 10 00 ,"Floor Structural Frame, Steel Framing Columns",B1010.10.30 21-02 10 10 10 30,300,"Inclusions:
• Specific section type and size",647,35,,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/647.png,
69,Associated Masterformat Sections: 05 10 00 ,"Floor Structural Frame, Steel Framing Columns",B1010.10.30 21-02 10 10 10 30,350,"Inclusions:
• Member connections such as, base plates and gusset
plates, anchor rods
• Connection details with correct and reliable dimensions
• Steel structure reinforcements and stiffeners (e.g. for
penetrations)
• Cap plates",648,35,,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/648.png,
70,Associated Masterformat Sections: 05 10 00 ,"Floor Structural Frame, Steel Framing Columns",B1010.10.30 21-02 10 10 10 30,400,"Inclusions:
• Welds
• Coping of members
• Washers, nuts, etc.",649,35,,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/649.png,
71,Associated Masterformat Sections: 05 10 00 / 05 20 00 / 05 21 23 ,"Floor Structural Frame, Steel Framing Beams",B1010.10.40 / 21-02 10 10 10 40 / Ss 20 20 75 80,100,"Inclusions:
• Abstraction of beam as box",,35,,,
72,Associated Masterformat Sections: 05 10 00 / 05 20 00 / 05 21 23 ,"Floor Structural Frame, Steel Framing Beams",B1010.10.40 / 21-02 10 10 10 40 / Ss 20 20 75 80,200,"Inclusions:
• General shape",,35,,,
73,Associated Masterformat Sections: 05 10 00 / 05 20 00 / 05 21 23 ,"Floor Structural Frame, Steel Framing Beams",B1010.10.40 / 21-02 10 10 10 40 / Ss 20 20 75 80,300,"Inclusions:
• Specific section type and size
• Nominal size and shape of penetrations of any size",654,36,,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/654.png,
74,Associated Masterformat Sections: 05 10 00 / 05 20 00 / 05 21 23 ,"Floor Structural Frame, Steel Framing Beams",B1010.10.40 / 21-02 10 10 10 40 / Ss 20 20 75 80,350,"Inclusions:
• Member connections such as, base plates and gusset
plates, anchor rods
• Actual size of penetrations
• Reinforcement of penetrations
• Stiffeners
• Connection details
• Cap plates",655,36,,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/655.png,
75,Associated Masterformat Sections: 05 10 00 / 05 20 00 / 05 21 23 ,"Floor Structural Frame, Steel Framing Beams",B1010.10.40 / 21-02 10 10 10 40 / Ss 20 20 75 80,400,"Inclusions
• Welds
• Coping of members
• Bent plates, cap pates, etc.
• Bolts, washers, nuts, etc.
• All assembly elements",,36,,,
